2025-04-13 14:08:21,738 - DEBUG - Dokument 54: data=2025-04-01, datasp=2025-04-01, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,738 - DEBUG - Dokument 55: data=2025-04-01, datasp=2025-04-01, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,738 - DEBUG - Dokument 56: data=2025-04-01, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,738 - DEBUG - Dokument 57: data=2025-04-01, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,738 - DEBUG - Dokument 58: data=2025-04-01, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,738 - DEBUG - Dokument 59: data=2025-04-01, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,738 - DEBUG - Dokument 60: data=2025-04-01, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 61: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 62: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 63: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 64: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 65: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 66: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 67: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 68: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 69: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 70: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 71: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,739 - DEBUG - Dokument 72: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 73: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 74: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 75: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 76: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 77: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 78: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 79: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 80: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 81: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 82: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 83: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 84: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,740 - DEBUG - Dokument 85: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 86: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 87: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 88: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 89: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 90: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 91: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 92: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 93: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 94: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 95: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 96: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,741 - DEBUG - Dokument 97: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 98: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 99: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 100: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 101: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 102: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 103: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 104: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 105: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 106: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 107: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,742 - DEBUG - Dokument 108: data=2025-04-02, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
